"","X","url","id","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"1",1,"https://bj.lianjia.com/chengjiao/101084782030.html","101084782030",116.475489,40.01952,1111027376244,"2016-08-09",1464,106,415,31680,131,2,"1",1,1,"high 26",1,2005,3,6,0.217,1,0,1,7,56021
"2",2,"https://bj.lianjia.com/chengjiao/101086012217.html","101086012217",116.453917,39.881534,1111027381879,"2016-07-28",903,126,575,43436,132.38,2,"2",1,2,"high 22",1,2004,4,6,0.667,1,1,0,7,71539
"3",3,"https://bj.lianjia.com/chengjiao/101086041636.html","101086041636",116.561978,39.877145,1111040862969,"2016-12-11",1271,48,1030,52021,198,3,"2",1,3,"mid 4",4,2005,3,6,0.5,1,0,0,7,48160
"4",4,"https://bj.lianjia.com/chengjiao/101086406841.html","101086406841",116.43801,40.076114,1111043185817,"2016-09-30",965,138,297.5,22202,134,3,"1",1,1,"bottom 21",1,2008,1,6,0.273,1,0,0,6,51238
"5",5,"https://bj.lianjia.com/chengjiao/101086920653.html","101086920653",116.428392,39.886229,1111027381174,"2016-08-28",927,286,392,48396,81,2,"1",1,1,"mid 6",4,1960,2,2,0.333,0,1,1,1,62588
"6",6,"https://bj.lianjia.com/chengjiao/101087277815.html","101087277815",116.46628,39.991363,1111027377512,"2016-07-22",861,57,275.6,52000,53,1,"0",1,1,"mid 8",4,2005,3,6,0.333,1,1,0,7,67738
"7",7,"https://bj.lianjia.com/chengjiao/101087292623.html","101087292623",116.482586,39.891991,1111027380683,"2016-07-14",851,167,275,37672,73,2,"1",1,1,"high 6",4,1997,4,2,0.5,0,0,0,7,50112
"8",8,"https://bj.lianjia.com/chengjiao/101087303800.html","101087303800",116.453917,39.881534,1111027381879,"2016-09-07",904,138,800,49521,161.55,3,"2",1,2,"high 22",1,2004,4,6,0.667,1,1,0,7,71539
"9",9,"https://bj.lianjia.com/chengjiao/101087463212.html","101087463212",116.555729,40.162058,1111027379605,"2016-09-04",873,218,134,27917,48,1,"0",1,1,"high 10",3,2009,1,2,0.333,0,0,0,13,44235
"10",10,"https://bj.lianjia.com/chengjiao/101087508625.html","101087508625",116.453086,39.898397,1111027374519,"2016-09-05",865,134,380,55883,68,1,"0",0,0,"mid 23",1,2009,4,6,0.308,1,1,1,1,78590
"11",11,"https://bj.lianjia.com/chengjiao/101087641313.html","101087641313",116.529489,39.890906,1111027382455,"2016-08-24",827,95,840,31579,266,4,"2",1,3,"mid 4",NA,2006,3,6,0.2,0,0,0,7,57260
"12",12,"https://bj.lianjia.com/chengjiao/101087793667.html","101087793667",116.555729,40.162058,1111027379605,"2016-08-03",773,74,126,26250,48,1,"1",1,1,"bottom 11",3,2009,3,2,0.333,0,1,0,13,44235
"13",13,"https://bj.lianjia.com/chengjiao/101087805216.html","101087805216",116.47617,39.844869,1111027374856,"2016-08-25",793,50,948,39832,238,4,"2",1,4,"bottom 3",NA,2004,4,6,0.091,0,1,0,7,46867
"14",14,"https://bj.lianjia.com/chengjiao/101087812155.html","101087812155",116.399018,39.978141,1111027382251,"2016-08-17",784,65,896,91710,97.7,3,"1",1,1,"high 6",4,1991,3,2,0.333,0,1,1,10,123002
"15",15,"https://bj.lianjia.com/chengjiao/101087919464.html","101087919464",116.296286,39.870107,1111027382679,"2016-06-17",706,90,285,35568,80.13,1,"1",1,1,"high 24",1,2001,4,6,0.222,1,0,1,2,53588
"16",16,"https://bj.lianjia.com/chengjiao/101087921597.html","101087921597",116.32922,39.892447,1111027379961,"2016-09-20",800,76,360,60607,59.4,2,"1",1,1,"high 26",1,1990,3,6,0.25,1,0,1,2,59395
"17",17,"https://bj.lianjia.com/chengjiao/101087926378.html","101087926378",116.405549,39.975629,1111027379201,"2016-07-22",739,39,700,39115,178.96,4,"1",1,1,"low 23",1,1997,3,6,0.333,1,1,1,7,53730
"18",18,"https://bj.lianjia.com/chengjiao/101087957433.html","101087957433",116.284755,39.93453,1111027376911,"2016-09-17",790,6,212,32981,64.28,1,"0",1,1,"mid 19",1,2009,3,6,0.111,1,0,1,8,70141
"19",19,"https://bj.lianjia.com/chengjiao/101088008763.html","101088008763",116.603852,39.893276,1111027375170,"2016-06-20",691,130,336,30189,111.3,2,"1",1,1,"mid 6",4,2008,4,6,0.167,1,1,0,7,48859
"20",20,"https://bj.lianjia.com/chengjiao/101088050742.html","101088050742",116.284755,39.93453,1111027376911,"2016-08-23",747,41,174.6,33577,52,1,"0",1,1,"mid 19",1,2009,3,6,0.111,1,0,1,8,70141
"21",21,"https://bj.lianjia.com/chengjiao/101088145348.html","101088145348",116.507351,39.934957,1111043267862,"2016-07-15",690,20,1950,63228,308.41,5,"2",1,4,"high 18",4,2011,4,6,1,1,0,1,7,101192
"22",22,"https://bj.lianjia.com/chengjiao/101088175163.html","101088175163",116.448302,39.960966,1111027374893,"2016-07-28",697,276,176,29000,60.69,1,"1",1,1,"low 25",1,2008,4,6,0.364,1,1,0,7,34966
"23",23,"https://bj.lianjia.com/chengjiao/101088238072.html","101088238072",116.432142,39.902354,1111027380930,"2016-07-26",681,115,520,87176,59.65,1,"1",1,1,"mid 12",3,2005,4,6,0.5,1,1,1,1,95392
"24",24,"https://bj.lianjia.com/chengjiao/101088346049.html","101088346049",116.453712,39.940847,1111027380731,"2016-12-04",789,84,1580,74999,210.67,4,"2",1,3,"high 6",4,2000,4,6,0.5,1,1,0,7,82311
"25",25,"https://bj.lianjia.com/chengjiao/101088350722.html","101088350722",116.486595,39.917578,1111027375161,"2016-07-25",656,17,1150,52668,218.35,4,"2",1,2,"mid 14",4,2005,4,6,0.333,1,1,1,7,84981
"26",26,"https://bj.lianjia.com/chengjiao/101088389994.html","101088389994",116.475515,40.008231,1111027381349,"2016-06-29",622,83,213,36417,58.49,1,"0",1,0,"mid 30",3,2004,3,6,0.429,1,0,1,7,50916
"27",27,"https://bj.lianjia.com/chengjiao/101088499424.html","101088499424",116.373014,39.859478,1111027374270,"2016-06-27",598,119,160,30189,53,1,"1",1,1,"high 18",1,1998,3,6,0.25,1,1,1,2,59797
"28",28,"https://bj.lianjia.com/chengjiao/101088532737.html","101088532737",116.284755,39.93453,1111027376911,"2016-10-30",715,13,210,40385,52,1,"0",1,1,"mid 19",1,2009,3,6,0.111,1,0,1,8,70141
"29",29,"https://bj.lianjia.com/chengjiao/101088567700.html","101088567700",116.450729,39.977923,1111043364345,"2016-08-15",630,37,1750,85366,205,3,"2",1,2,"mid 27",4,2010,2,6,0.667,1,0,1,7,109848
"30",30,"https://bj.lianjia.com/chengjiao/101088639199.html","101088639199",116.369475,40.069842,1111027374195,"2016-07-12",580,85,630,39378,159.99,3,"2",1,2,"mid 5",4,2004,4,2,0.5,0,1,0,8,67509
"31",31,"https://bj.lianjia.com/chengjiao/101088684632.html","101088684632",116.480923,39.900942,1111027379643,"2016-09-20",640,31,845,33988,248.62,2,"2",1,2,"mid 14",4,2004,4,6,1,1,0,1,7,79235
"32",32,"https://bj.lianjia.com/chengjiao/101088693311.html","101088693311",116.434144,39.892211,1111027374239,"2016-08-08",594,78,723,65407,110.54,3,"1",1,1,"high 6",4,1996,4,2,0.333,0,1,1,1,85681
"33",33,"https://bj.lianjia.com/chengjiao/101088710736.html","101088710736",116.376709,39.867222,1111027376484,"2016-06-19",540,57,240,42165,56.92,2,"1",1,1,"low 18",1,1996,3,6,0.25,1,0,1,2,58741
"34",34,"https://bj.lianjia.com/chengjiao/101088760253.html","101088760253",116.485296,39.991732,1111027377325,"2016-09-27",628,268,590,51687,114.15,2,"2",1,1,"bottom 28",1,2001,1,6,0.375,1,0,1,7,53538
"35",35,"https://bj.lianjia.com/chengjiao/101088790489.html","101088790489",116.416572,40.063191,1111027375135,"2016-09-08",603,19,354.5,50672,69.96,3,"1",1,2,"mid 11",3,2010,1,6,0.2,1,0,1,6,45854
"36",36,"https://bj.lianjia.com/chengjiao/101088807471.html","101088807471",116.257104,39.873962,1111027380345,"2016-09-28",621,138,210,44436,47.26,1,"1",1,1,"low 9",3,2011,3,6,0.098,1,0,1,2,70205
"37",37,"https://bj.lianjia.com/chengjiao/101088814261.html","101088814261",116.513848,39.875068,1111027377000,"2016-07-06",535,115,218,29416,74.11,2,"1",1,1,"low 7",4,1993,3,4,0.25,0,1,1,7,45332
