ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,OWNER,NUMBER_OF_DOCKS,STATION_INFO,CITY
Ward Circle / American University,31301,38.938736,-77.087171,5,10,DC,15,31301: Ward Circle / American University,Washington
Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,0,16,DC,16,31302: Wisconsin Ave & Newark St NW,Washington
14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,6,5,DC,11,31402: 14th St Heights / 14th & Crittenden St NW,Washington
Anacostia Library,31804,38.865784000000005,-76.9784,10,1,DC,11,31804: Anacostia Library,Washington
Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.97101500000001,7,4,DC,11,31805: Pennsylvania & Minnesota Ave SE,Washington
Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,0,14,DC,14,31610: Eastern Market / 7th & North Carolina Ave SE,Washington
14th St & New York Ave NW,31216,38.899632000000004,-77.031686,22,1,DC,23,31216: 14th St & New York Ave NW,Washington
Benning Branch Library,31705,38.894,-76.947974,5,6,DC,11,31705: Benning Branch Library,Washington
USDA / 12th & C St SW,31217,38.886277,-77.028242,22,14,DC,36,31217: USDA / 12th & C St SW,Washington
12th & Newton St NE,31501,38.933668,-76.991016,2,9,DC,11,31501: 12th & Newton St NE,Washington
US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,13,0,DC,13,31220: US Dept of State / Virginia Ave & 21st St NW,Washington
L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.02224100000001,1,14,DC,15,31218: L'Enfant Plaza / 7th & C St SW,Washington
10th St & Constitution Ave NW,31219,38.893028,-77.026013,24,0,DC,24,31219: 10th St & Constitution Ave NW,Washington
Kennedy Center,31211,38.897293,-77.05556999999999,11,3,DC,14,31211: Kennedy Center,Washington
Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,0,19,DC,19,31613: Eastern Market Metro / Pennsylvania Ave & 7th St SE,Washington
18th & M St NW,31221,38.905066999999995,-77.041779,22,2,DC,24,31221: 18th & M St NW,Washington
Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,0,15,DC,15,31303: Tenleytown / Wisconsin Ave & Albemarle St NW,Washington
13th & H St NE,31611,38.900022,-76.988422,0,25,DC,25,31611: 13th & H St NE,Washington
5th & F St NW,31620,38.897222,-77.019347,9,20,DC,29,31620: 5th & F St NW,Washington
New York Ave & 15th St NW,31222,38.899032,-77.033354,12,5,DC,17,31222: New York Ave & 15th St NW,Washington
Convention Center / 7th & M St NW,31223,38.905737,-77.02226999999999,2,19,DC,21,31223: Convention Center / 7th & M St NW,Washington
Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,2,13,DC,15,31112: Harvard St & Adams Mill Rd NW,Washington
19th & L St NW,31224,38.903407,-77.043648,12,1,DC,13,31224: 19th & L St NW,Washington
C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,12,8,DC,20,31225: C & O Canal & Wisconsin Ave NW,Washington
Maine Ave & 7th St SW,31609,38.878694,-77.023054,1,16,DC,17,31609: Maine Ave & 7th St SW,Washington
D St & Maryland Ave NE,31612,38.894758,-76.997114,0,22,DC,22,31612: D St & Maryland Ave NE,Washington
34th St & Wisconsin Ave NW,31226,38.916441999999996,-77.0682,0,9,DC,9,31226: 34th St & Wisconsin Ave NW,Washington
8th & H St NW,31228,38.8997,-77.02308599999999,10,23,DC,33,31228: 8th & H St NW,Washington
10th & Monroe St NE,31504,38.932514000000005,-76.992889,0,7,DC,7,31504: 10th & Monroe St NE,Washington
Eckington Pl & Q St NE,31505,38.910971999999994,-77.00495,5,17,DC,22,31505: Eckington Pl & Q St NE,Washington
