"","date","freq","ave_temp"
"1","2017-01-01",4063,46.7
"2","2017-01-02",1638,42.845
"3","2017-01-03",3771,44.195
"4","2017-01-04",7185,41.61
"5","2017-01-05",6214,32.42
"6","2017-01-05",6214,32.42
"7","2017-01-06",5570,26.765
"8","2017-01-07",1809,18.7
"9","2017-01-08",1920,17.52
"10","2017-01-09",4617,23.415
"11","2017-01-10",5606,35.83
"12","2017-01-11",7267,51.245
"13","2017-01-12",9091,61.03
"14","2017-01-13",8031,45.27
"15","2017-01-14",1864,35.39
"16","2017-01-15",5348,41.015
"17","2017-01-16",4485,42.395
"18","2017-01-17",5574,47.23
"19","2017-01-18",7345,49.36
"20","2017-01-18",7345,49.36
"21","2017-01-19",7376,43.405
"22","2017-01-20",5566,46.77
"23","2017-01-21",8157,47.745
"24","2017-01-22",4066,47.75
"25","2017-01-23",2905,41.345
"26","2017-01-24",7389,44.385
"27","2017-01-25",9023,53.27
"28","2017-01-26",8048,47.765
"29","2017-01-27",6887,37.74
"30","2017-01-28",5555,39.695
"31","2017-01-29",5250,37.23
"32","2017-01-30",5420,30.77
"33","2017-01-31",7764,44.07
"34","2017-02-01",8231,42.835
"35","2017-02-02",7649,40.05
"36","2017-02-03",6543,29.64
"37","2017-02-04",4807,35.365
"38","2017-02-05",5489,42.48
"39","2017-02-06",8399,55.12
"40","2017-02-07",9796,64.61
"41","2017-02-08",10619,52.38
"42","2017-02-09",5369,28.91
"43","2017-02-10",5974,35.82
"44","2017-02-11",6821,49.355
"45","2017-02-12",4723,43.435
"46","2017-02-13",6364,35.61
"47","2017-02-14",7409,40.24
"48","2017-02-15",7485,41.335
"49","2017-02-16",6427,31.835
"50","2017-02-17",7282,41.4
"51","2017-02-18",10726,63.21
"52","2017-02-18",10726,63.21
"53","2017-02-19",12350,57.545
"54","2017-02-20",10058,52.415
"55","2017-02-21",8815,50.835
"56","2017-02-22",9659,58.075
"57","2017-02-23",11744,65.66
"58","2017-02-24",12959,67.23
