temperatureHigh,humidity,pressure,windSpeed,visibility
22.39,0.55,1032.37,2.81,7.36
24.62,0.5,1033.85,2.09,7.63
33.23,0.58,1024.06,0.33,7.38
25.05,0.64,1008.13,5.92,5.55
18.83,0.44,1019.87,5.86,7.6
18.83,0.44,1019.87,5.86,7.6
18.47,0.44,1030.76,4.49,7.57
23.03,0.49,1036.1,0.67,7.33
34.98,0.59,1023.84,1.62,7.25
48.37,0.77,1024.22,0.59,5.46
42.64,0.71,1030.61,0.31,7.71
61.39,0.75,1026.19,0.96,8.91
67.66,0.91,1008.94,2.76,7.19
36.26,0.66,1015.23,5.27,7.22
26.46,0.49,1037.22,2.98,7.63
31.14,0.69,1035.12,0.61,7.48
40.29,0.75,1030.51,0.28,6.7
25.12,0.66,1027.81,3.97,6.36
43.98,0.44,1021.02,2.95,7.5
43.98,0.44,1021.02,2.95,7.5
52.71,0.45,1019.02,0.56,7.83
60.74,0.53,1016.71,0.79,7.91
60.63,0.66,1021.38,0.43,7.87
65.67,0.63,1018.82,1.39,7.18
63.96,0.68,1007.11,1.85,7.34
43.67,0.56,1018.22,3.47,7.64
39.98,0.55,1031.18,2.19,7.56
46.78,0.64,1037.69,0.84,7.89
61.58,0.57,1030.73,3.12,7.22
52.75,0.87,1024.18,0.45,5.83
45.25,0.7,1019.67,1.79,7.46
33.88,0.58,1020.44,5.03,7.34
35.61,0.49,1024.76,1.45,7.45
51.51,0.51,1014.69,2.04,7.41
31.79,0.57,1022.53,4.67,7.31
34.71,0.49,1031.53,1.85,7.79
34.17,0.7,1017.87,0.97,5.29
35.01,0.69,1019.89,2.43,6.74
39.81,0.7,1028.52,0.35,7.88
37.92,0.82,1023.08,0.81,5.89
35.47,0.61,1029.94,2.98,7.93
45.17,0.72,1032.05,1.29,8.03
46.89,0.88,1022.56,0.45,4.61
67.05,0.91,1014.19,1.38,4.24
48.22,0.65,1028.01,2.88,7.15
41.17,0.58,1040.63,0.64,7.9
52.85,0.75,1027.31,1.01,7.79
72.01,0.79,1012.31,2.06,7.55
61.95,0.76,1010.19,2.3,7.58
42.32,0.73,1024.94,0.51,6.16
49.5,0.76,1026.83,0.46,6.67
49.5,0.76,1026.83,0.46,6.67
46.45,0.87,1030.66,1.15,6.24
77.74,0.75,1027.48,3.04,6.85
80.33,0.74,1026.88,3.02,7.57
54.99,0.74,1032.19,2.81,7.13
45.59,0.9,1032.22,0.74,4.78
51.24,0.93,1021.51,0.73,3.09
53,0.93,1016.16,0.34,3.99
51.74,0.71,1022.61,1.16,6.23
58.11,0.51,1028.57,0.61,7.34
63.93,0.54,1018.4,2.31,7.33
54.25,0.82,1007.36,0.45,6.62
45.89,0.54,1005.98,10.42,7.15
45.89,0.54,1005.98,10.42,7.15
50.36,0.53,1019.57,6.8,7.62
50.13,0.46,1023.17,4.48,7.65
46.92,0.42,1020.77,3.2,7.9
44.42,0.68,1016.08,1.17,7.38
46.16,0.8,1007.53,2.46,6.18
46.16,0.8,1007.53,2.46,6.18
42.74,0.51,1011,3.77,7.77
42.2,0.47,1013.48,4.28,7.7
48.81,0.52,1017.4,1.16,8.3
49.64,0.52,1019.64,0.47,8.39
42.88,0.66,1013.03,2.18,7.95
44.46,0.54,1010.36,4.99,7.77
40.54,0.5,1010.09,5.19,7.76
51.17,0.45,1007.06,2.85,7.98
44.35,0.45,1013.01,3.83,8.06
44.17,0.57,1014.36,1.04,8.03
56.59,0.47,1014.02,1.99,8.19
